Company,Type,Inches,CPU,Generation,RAM,Memory,GPU,OS,Weight,Price
Hp,Ultrabook,14,Core i7,6,8GB,256GB SSD,Intel,Windows 10,2kg,3500000
Dell,Ultrabook,15,Core i7,9,16GB,512GB SSD,Intel + Nvidia GTX,Windows 10,2kg,8600000
Hp,Gaming,15,Core i7,8,16GB,256GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,3kg,8800000
Acer,Ultrabook,14,Core i7,4,8GB,128GB SSD,Intel,Windows 11,2kg,2600000
Hp,Workstation,15,Core i7,3,8GB,128GB SSD,Intel + AMD,Windows 10,2kg,2100000
Acer,Workstation,14,Core i5,1,8GB,500GB HDD,Intel,Windows 10,2kg,1700000
Lenovo,Workstation,14,Core i5,2,10GB,128GB SSD + 500GB HDD,Intel,Windows 10,2kg,2100000
Acer,Gaming,15,Core i7,8,16GB,SSD 128GB + 1000GB HDD,Intel + Nvidia GTX,Windows 10,2kg,8500000
Hp,Workstation,15,Core i7,2,8GB,256GB SSD,Intel + AMD,Windows 10,2kg,2100000
Fujitsu,Workstation,14,Core i5,2,8GB,500GB HDD,Intel,Windows 10,2kg,1700000
Toshiba,Ultrabook,14,Core i5,4,6GB,500GB HDD,Intel,Windows 10,2kg,2200000
Dell,Ultrabook,14,Core i5,3,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,2300000
Hp,Gaming,15,Core i7,6,16GB,256GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,3kg,5500000
ROG,Gaming,17,Core i7,6,16GB,128GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,3kg,5000000
Hp,Ultrabook,14,Core i7,8,8GB,256GB SSD,Intel,Windows 10,2kg,5500000
Hp,Ultrabook,14,Core i7,6,8GB,256GB SSD,Intel,Windows 10,2kg,4500000
MSI,Gaming,15,Core i7,11,8GB,512GB SSD,Intel + Nvidia GTX,Windows 10,3kg,9700000
MSI,Gaming,15,Core i7,8,32GB,512GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 11,3kg,8200000
Hp,Ultrabook,15,Core i7,10,16GB,1000GB SSD,Intel + Nvidia,Windows 11,2kg,7900000
Asus,Gaming,15,Core i7,9,16GB,512GB SSD,Intel + Nvidia GTX,Windows 10,2kg,8800000
Asus,Gaming,15,Core i7,8,8GB,128GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 11,3kg,7500000
ROG,Gaming,17,Core i7,4,16GB,256GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,4kg,6000000
MSI,Gaming,15,Core i7,8,16GB,512GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 11,3kg,8000000
Asus,Ultrabook,15,Core i7,8,16GB,256GB SSD,Intel + Nvidia GTX,Windows 11,2kg,6900000
